name,location,currency,price,participants,organizer,period,invite,tags,logo_link,hackathon_link
GNEC Hackathon,Online,$,0,5,Global NGO Executive Committee,"Jul 23 - Aug 06, 2023",False,"Beginner Friendly, Social Good, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/439/080/datas/medium_square.png,https://gnec-hackathon-2023.devpost.com
Hacktivate 2023,Online,$,100,2,Tech Savvy Youth,"Jul 15 - 22, 2023",False,"Beginner Friendly, Education",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/514/077/datas/medium_square.png,https://hacktivate2023.devpost.com
Girls in Tech : Hack for the Environment,Online,$,6000,9,Girls in Tech,"Jul 26 - Aug 23, 2023",False,"Machine Learning/AI, Robotic Process Automation, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/513/023/datas/medium_square.png,https://hackfortheenvironmentwith-git.devpost.com
Encode Justice NY Hackathon,Brooklyn Public Library,$,0,3,Encode Justice New York,"Jul 01, 2023",False,"Beginner Friendly, Education, Low/No Code",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/489/datas/medium_square.png,https://encode-justice-ny-hackathon.devpost.com
The Robots Are Coming,AMCC,$,75,1,MARZ,"Jul 13, 2023",False,"Beginner Friendly, Machine Learning/AI, Robotic Process Automation",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/054/datas/medium_square.png,https://the-robots-are-coming.devpost.com
HackDearborn,University of Michigan - Dearborn,$,800,4,MLH,"Oct 21 - 22, 2023",False,"Beginner Friendly, Machine Learning/AI, Open Ended",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://hackdearborn2.devpost.com
AI Hack'23,RNSIT  - AI&ML Block,₹,70000,5,Amura Club Dept. Of AIML RNSIT,"Jul 07 - 08, 2023",False,"Databases, Fintech, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/544/datas/medium_square.jpeg,https://ai-hack-23.devpost.com
NEARCON IRL Hackathon,Armazem,$,140000,50,NEAR Protocol,"Nov 07 - 10, 2023",False,"Beginner Friendly, Blockchain, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/507/867/datas/medium_square.png,https://nearcon-hackathon.devpost.com
HackZurich 2023,Halle 550 Zurich Oerlikon,$,10000,14,HackZurich,"Jul 10 - Sep 17, 2023",False,"Mobile, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/341/datas/medium_square.png,https://hackzurich2023.devpost.com
Epson Innovation Challenge #2,Foundry 415 Innovation Group,$,10997,10,Foundry 415 Innovation Group,"Jul 12 - 20, 2023",False,"Machine Learning/AI, Open Ended, Productivity",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/504/361/datas/medium_square.png,https://epson-innovation-challenge.devpost.com
All Inclusive Hacks,Online,$,202150,156,All Inclusive Hacks,"Aug 18 - 21, 2023",False,"Machine Learning/AI, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/494/822/datas/medium_square.png,https://all-inclusive-hacks.devpost.com
MelonJam 4,Online,$,50,22,Cupertino GDC,"Jul 21 - 24, 2023",False,"Beginner Friendly, Design, Gaming",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/491/075/datas/medium_square.png,https://melonjam-4.devpost.com
Fall In Vets Hackathon with AI guest speaker from Harvard CS50 guest lecturer,Los Angeles,$,0,2,Fall In,"Jun 30 - Jul 02, 2023",False,"Beginner Friendly, Health, Low/No Code",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/501/243/datas/medium_square.png,https://fall-in-vets-hackathon.devpost.com
TechXcelerate Summer Hackathon 2023,Online,$,61464,27,TechXcelerate,"Jul 08 - 22, 2023",False,"Beginner Friendly, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/494/079/datas/medium_square.png,https://techxcelerate.devpost.com
HackChess,Online,$,270,60,Lake Washington High School,"Jul 15 - 22, 2023",False,"Beginner Friendly, Gaming, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/496/308/datas/medium_square.png,https://hackchess.devpost.com
HackBytes II,Online,$,21937,330,Bytes and Pieces,"Jun 30 - Jul 01, 2023",False,"Education, Beginner Friendly, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/885/datas/medium_square.png,https://hackbytes-ii.devpost.com
BÄKO-Hackathon,Amplifier,€,9500,3,hack.institute,"Aug 25 - 27, 2023",False,Open Ended,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/493/085/datas/medium_square.png,https://baeko-hackathon.devpost.com
KatyYouthHacks 2023,Online,$,0,9,Girls Who Code Katy,"Aug 12 - 13, 2023",False,"Beginner Friendly, Low/No Code, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/495/412/datas/medium_square.png,https://katyyouthhacks-2023.devpost.com
SICK Solution Hackathon,SICK SIA Campus,€,120000,28,SICK,"Oct 24 - 26, 2023",True,"IoT, Machine Learning/AI, Robotic Process Automation",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/490/031/datas/medium_square.png,https://sick-solution-hackathon.devpost.com
YouthCodeX,No location yet,$,101500,80,Youth Code Foundation,"Jul 29, 2023",False,"Design, Productivity, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/760/datas/medium_square.jpg,https://youthcodex.devpost.com
STEMist Hacks II,Online,$,83934,194,STEMist Education,"Jul 21 - 23, 2023",False,"Beginner Friendly, Education, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/491/831/datas/medium_square.png,https://stemist-hacks-2.devpost.com
Global Hack Week: Launch,Online,$,0,77,Major League Hacking,"Jul 03 - 10, 2023",False,"Beginner Friendly, Low/No Code, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/482/478/datas/medium_square.png,https://global-hack-week-launch.devpost.com
API World Hackathon 2023,Santa Clara Convention Center & Virtual,$,28500,67,DevNetwork,"Oct 09 - 26, 2023",False,"IoT, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/487/824/datas/medium_square.jpg,https://api-world-hackathon-2023.devpost.com
Scioverflow,Online,$,22050,25,weSTEM,"Jul 20 - 21, 2023",False,"Health, Machine Learning/AI, Social Good",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://sci0verflow2.devpost.com
Young Youth Innovators Fall 2023,Online,$,0,8,Young Youth Innovators,"Aug 31 - Sep 14, 2023",False,"Beginner Friendly, Low/No Code, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/477/913/datas/medium_square.png,https://y-y-innovators-fall-2023.devpost.com
Equali-Hack Fall 2023,Online,$,0,6,EqualiHack,"Sep 01 - Oct 01, 2023",False,"Low/No Code, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/475/386/datas/medium_square.png,https://equali-hack-fall-2023.devpost.com
DeveloperWeek CloudX 2023 Hackathon,San Mateo Events Center & Virtual,$,16500,25,DevNetwork,"Aug 01 - 16, 2023",False,"DevOps, IoT, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/487/811/datas/medium_square.jpg,https://dw-cloudx-2023-hackathon.devpost.com
EducateHacks,Online,$,6210,96,EducateHacks,"Apr 05 - 07, 2024",False,"Education, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/339/963/datas/medium_square.png,https://educatehacks-2024.devpost.com
LaunchHacks III,Online,$,35000,58,LaunchHacks,"Apr 05 - 07, 2024",False,"Beginner Friendly, Education, Machine Learning/AI",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://launchhacksiii.devpost.com
LaunchHacks IV,Online,$,20000,20,LaunchHacks,"Apr 08 - 09, 2025",False,"Beginner Friendly, Education, Open Ended",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,https://launchhacks-iv.devpost.com
LaunchHacks 2023 Summer Hackathon,Online,$,30000,426,LaunchHacks,"Jul 22 - 29, 2023",False,"Beginner Friendly, Machine Learning/AI, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/432/331/datas/medium_square.png,https://launchhacks-2023-summer.devpost.com
PeddieHacks 2023,Online,$,94802,41,Peddie Computer Science Club,"Aug 18, 2023",False,Beginner Friendly,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/550/datas/medium_square.JPG,https://peddiehacks-2023.devpost.com
